generation,best_fitness,avg_fitness
0,6.544999999999994,1.0
1,6.424999999999991,1.0
2,6.329999999999993,1.0
3,6.444999999999991,1.0
4,6.409999999999991,1.0
5,6.764999999999992,1.0
6,6.704999999999989,1.0
7,6.424999999999991,1.0
8,6.374999999999993,1.0
9,6.444999999999991,1.0
10,6.504999999999992,1.0
11,6.399999999999993,1.0
12,6.4649999999999945,1.0
13,6.374999999999991,1.0
14,6.409999999999992,1.0
15,6.3449999999999935,1.0
16,6.474999999999991,1.0
17,6.384999999999993,1.0
18,6.644999999999991,1.0
19,6.619999999999992,1.0
20,6.324999999999991,1.0
21,6.454999999999993,1.0
22,6.4599999999999875,1.0
23,6.699999999999994,1.0
24,6.489999999999993,1.0
25,6.504999999999991,1.0
26,6.404999999999993,1.0
27,6.499999999999993,1.0
28,6.5899999999999945,1.0
29,6.659999999999992,1.0
30,6.369999999999992,1.0
31,6.444999999999994,1.0
32,6.4999999999999885,1.0
33,6.434999999999988,1.0
34,6.494999999999994,1.0
35,6.704999999999991,1.0
36,6.429999999999994,1.0
37,6.629999999999992,1.0
38,6.414999999999994,1.0
39,6.679999999999987,1.0
40,6.6849999999999925,1.0
41,6.614999999999993,1.0
42,6.564999999999992,1.0
43,6.494999999999993,1.0
44,6.609999999999993,1.0
45,6.7999999999999865,1.0
46,6.649999999999993,1.0
47,6.48999999999999,1.0
48,6.659999999999993,1.0
49,6.44499999999999,1.0
